銘柄,社名,業種
1301,極洋,水産・農林業
1332,ニッスイ,水産・農林業
1333,マルハニチロ,水産・農林業
1375,雪国まいたけ,水産・農林業
1377,サカタのタネ,水産・農林業
1379,ホクト,水産・農林業
1414,ショーボンドホールディングス,建設業
1417,ミライト・ワン,建設業
1419,タマホーム,建設業
1429,日本アクア,建設業
1433,ベステラ,建設業
1515,日鉄鉱業,鉱業
1518,三井松島ホールディングス,鉱業
1605,INPEX,鉱業
1662,石油資源開発,鉱業
1663,K&Oエナジーグループ,鉱業
1719,安藤・間,建設業
1720,東急建設,建設業
1721,コムシスホールディングス,建設業
1726,ビーアールホールディングス,建設業
1762,高松コンストラクショングループ,建設業
1766,東建コーポレーション,建設業
1780,ヤマウラ,建設業
1786,オリエンタル白石,建設業
1801,大成建設,建設業
1802,大林組,建設業
1803,清水建設,建設業
1808,長谷工コーポレーション,建設業
1812,鹿島建設,建設業
1813,不動テトラ,建設業
1814,大末建設,建設業
1815,鉄建建設,建設業
1820,西松建設,建設業
1821,三井住友建設,建設業
1833,奥村組,建設業
1835,東鉄工業,建設業
1852,淺沼組,建設業
1860,戸田建設,建設業
1861,熊谷組,建設業
1870,矢作建設工業,建設業
1871,ピーエス・コンストラクション,建設業
1873,日本ハウスホールディングス,建設業
1878,大東建託,不動産業
1879,新日本建設,建設業
1882,東亜道路工業,建設業
1884,日本道路,建設業
1885,東亜建設工業,建設業
1887,日本国土開発,建設業
1888,若築建設,建設業
1890,東洋建設,建設業
1893,五洋建設,建設業
1898,世紀東急工業,建設業
1899,福田組,建設業
1911,住友林業,建設業
1925,大和ハウス工業,建設業
1926,ライト工業,建設業
1928,積水ハウス,建設業
1929,日特建設,建設業
1930,北陸電気工事,建設業
1934,ユアテック,建設業
1938,日本リーテック,建設業
1939,四電工,建設業
1941,中電工,建設業
1942,関電工,建設業
1944,きんでん,建設業
1945,東京エネシス,建設業
1946,トーエネック,建設業
1949,住友電設,建設業
1950,日本電設工業,建設業
1951,エクシオグループ,建設業
1952,新日本空調,建設業
1959,九電工,建設業
1961,三機工業,建設業
1963,日揮ホールディングス,建設業
1964,中外炉工業,建設業
1968,太平電業,建設業
1969,高砂熱学工業,建設業
1973,NECネッツエスアイ,情報・通信業
1975,朝日工業社,建設業
1976,明星工業,建設業
1979,大氣社,建設業
1980,ダイダン,建設業
1982,日比谷総合設備,建設業
2001,ニップン,食料品
2002,日清製粉グループ本社,食料品
2004,昭和産業,食料品
2053,中部飼料,食料品
2060,フィード・ワン,食料品
2108,日本甜菜製糖,食料品
2109,DM三井製糖ホールディングス,食料品
2117,ウェルネオシュガー,食料品
2120,LIFULL,サービス業
2121,MIXI,サービス業
2124,ジェイエイシーリクルートメント,サービス業
2127,日本M&Aセンターホールディングス,サービス業
2130,メンバーズ,サービス業
2146,UTグループ,サービス業
2148,アイティメディア,サービス業
2150,ケアネット,サービス業
2153,E・Jホールディングス,サービス業
2154,オープンアップグループ,サービス業
2157,コシダカホールディングス,サービス業
2163,アルトナー,サービス業
2168,パソナグループ,サービス業
2170,リンクアンドモチベーション,サービス業
2175,エス・エム・エス,サービス業
2181,パーソルホールディングス,サービス業
2198,アイ・ケイ・ケイホールディングス,サービス業
2201,森永製菓,食料品
2206,江崎グリコ,食料品
2207,名糖産業,食料品
2209,井村屋グループ,食料品
2211,不二家,食料品
2212,山崎製パン,食料品
2217,モロゾフ,食料品
2220,亀田製菓,食料品
2222,寿スピリッツ,食料品
2229,カルビー,食料品
2264,森永乳業,食料品
2266,六甲バター,食料品
2267,ヤクルト本社,食料品
2269,明治ホールディングス,食料品
2270,雪印メグミルク,食料品
2281,プリマハム,食料品
2282,日本ハム,食料品
2288,丸大食品,食料品
2292,エスフーズ,食料品
2294,柿安本店,食料品
2296,伊藤ハム米久ホールディングス,食料品
2301,学情,サービス業
2305,スタジオアリス,サービス業
2307,クロスキャット,情報・通信業
2317,システナ,情報・通信業
2325,NJS,サービス業
2326,デジタルアーツ,情報・通信業
2327,日鉄ソリューションズ,情報・通信業
2331,綜合警備保障,サービス業
2335,キューブシステム,情報・通信業
2337,いちご,不動産業
2353,日本駐車場開発,不動産業
2359,コア,情報・通信業
2371,カカクコム,サービス業
2372,アイロムグループ,サービス業
2374,セントケア・ホールディング,サービス業
2378,ルネサンス,サービス業
2379,ディップ,サービス業
2384,SBSホールディングス,陸運業
2389,デジタルホールディングス,サービス業
2395,新日本科学,サービス業
2410,キャリアデザインセンター,サービス業
2413,エムスリー,サービス業
2429,ワールドホールディングス,サービス業
2432,ディー・エヌ・エー,サービス業
2433,博報堂DYホールディングス,サービス業
2440,ぐるなび,サービス業
2445,タカミヤ,サービス業
2461,ファンコミュニケーションズ,サービス業
2462,ライク,サービス業
2471,エスプール,サービス業
2475,WDBホールディングス,サービス業
2489,アドウェイズ,サービス業
2491,バリューコマース,サービス業
2492,インフォマート,サービス業
2501,サッポロホールディングス,食料品
2502,アサヒグループホールディングス,食料品
2503,キリンホールディングス,食料品
2531,宝ホールディングス,食料品
2533,オエノンホールディングス,食料品
2540,養命酒製造,食料品
2579,コカ・コーラボトラーズジャパンホールディングス,食料品
2585,ライフドリンク カンパニー,食料品
2587,サントリー食品インターナショナル,食料品
2590,ダイドーグループホールディングス,食料品
2593,伊藤園,食料品
2594,キーコーヒー,食料品
2602,日清オイリオグループ,食料品
2607,不二製油グループ本社,食料品
2613,J-オイルミルズ,食料品
2659,サンエー,小売業
2664,カワチ薬品,小売業
2670,エービーシー・マート,小売業
2674,ハードオフコーポレーション,小売業
2676,高千穂交易,卸売業
2678,アスクル,小売業
2681,ゲオホールディングス,小売業
2685,アダストリア,小売業
2692,伊藤忠食品,卸売業
2695,くら寿司,小売業
2715,エレマテック,卸売業
2726,パルグループホールディングス,小売業
2730,エディオン,小売業
2733,あらた,卸売業
2734,サーラコーポレーション,小売業
2737,トーメンデバイス,卸売業
2742,ハローズ,小売業
2749,JPホールディングス,サービス業
2752,フジオフードグループ本社,小売業
2753,あみやき亭,小売業
2760,東京エレクトロン デバイス,卸売業
2767,円谷フィールズホールディングス,卸売業
2768,双日,卸売業
2784,アルフレッサ ホールディングス,卸売業
2791,大黒天物産,小売業
2792,ハニーズホールディングス,小売業
2801,キッコーマン,食料品
2802,味の素,食料品
2804,ブルドックソース,食料品
2809,キユーピー,食料品
2810,ハウス食品グループ本社,食料品
2811,カゴメ,食料品
2815,アリアケジャパン,食料品
2871,ニチレイ,食料品
2874,横浜冷凍,卸売業
2875,東洋水産,食料品
2882,イートアンドホールディングス,食料品
2884,ヨシムラ・フード・ホールディングス,食料品
2897,日清食品ホールディングス,食料品
2908,フジッコ,食料品
2910,ロック・フィールド,食料品
2914,日本たばこ産業,食料品
2915,ケンコーマヨネーズ,食料品
2918,わらべや日洋ホールディングス,食料品
2922,なとり,食料品
2929,ファーマフーズ,食料品
2930,北の達人コーポレーション,化学
2931,ユーグレナ,食料品
2933,紀文食品,食料品
2935,ピックルスホールディングス,食料品
2975,スター・マイカ・ホールディングス,不動産業
2980,SREホールディングス,不動産業
2982,ADワークスグループ,不動産業
3002,グンゼ,繊維製品
3003,ヒューリック,不動産業
3028,アルペン,小売業
3031,ラクーンホールディングス,情報・通信業
3034,クオールホールディングス,小売業
3036,アルコニックス,卸売業
3038,神戸物産,卸売業
3040,ソリトンシステムズ,情報・通信業
3046,ジンズホールディングス,小売業
3048,ビックカメラ,小売業
3050,DCMホールディングス,小売業
3064,MonotaRO,小売業
3073,DDホールディングス,小売業
3076,あいホールディングス,卸売業
3086,J.フロント リテイリング,小売業
3087,ドトール・日レスホールディングス,小売業
3088,マツキヨココカラ&カンパニー,小売業
3091,ブロンコビリー,小売業
3092,ZOZO,小売業
3093,トレジャー・ファクトリー,小売業
3097,物語コーポレーション,小売業
3099,三越伊勢丹ホールディングス,小売業
3101,東洋紡,繊維製品
3103,ユニチカ,繊維製品
3104,富士紡ホールディングス,繊維製品
3105,日清紡ホールディングス,電気機器
3106,倉敷紡績,繊維製品
3107,ダイワボウホールディングス,卸売業
3109,シキボウ,繊維製品
3110,日東紡績,ガラス・土石製品
3116,トヨタ紡織,輸送用機器
3132,マクニカホールディングス,卸売業
3135,マーケットエンタープライズ,小売業
3139,ラクト・ジャパン,卸売業
3141,ウエルシアホールディングス,小売業
3148,クリエイトSDホールディングス,小売業
3150,グリムス,卸売業
3151,バイタルケーエスケー・ホールディングス,卸売業
3153,八洲電機,卸売業
3154,メディアスホールディングス,卸売業
3156,レスターホールディングス,卸売業
3167,TOKAIホールディングス,卸売業
3176,三洋貿易,卸売業
3179,シュッピン,小売業
3180,ビューティガレージ,卸売業
3182,オイシックス・ラ・大地,小売業
3183,ウイン・パートナーズ,卸売業
