銘柄,社名,業種
1376,カネコ種苗,水産・農林業
1380,秋川牧園,水産・農林業
1381,アクシーズ,水産・農林業
1382,ホーブ,水産・農林業
1383,ベルグアース,水産・農林業
1384,ホクリヨウ,水産・農林業
1407,ウエストホールディングス,建設業
1418,インターライフホールディングス,建設業
1420,サンヨーホームズ,建設業
1430,ファーストコーポレーション,建設業
1434,JESCOホールディングス,建設業
1435,robot home,建設業
1438,岐阜造園,建設業
1439,安江工務店,建設業
1443,技研ホールディングス,建設業
1446,キャンディル,建設業
1450,田中建設工業,建設業
1451,KHC,建設業
1491,中外鉱業,非鉄金属
1514,住石ホールディングス,鉱業
1711,SDSホールディングス,建設業
1712,ダイセキ環境ソリューション,建設業
1716,第一カッター興業,建設業
1717,明豊ファシリティワークス,サービス業
1718,美樹工業,建設業
1723,日本電技,建設業
1724,シンクレイヤ,建設業
1730,麻生フオームクリート,建設業
1736,オーテック,建設業
1743,コーアツ工業,建設業
1757,創建エース,建設業
1758,太洋基礎工業,建設業
1764,工藤建設,建設業
1768,ソネック,建設業
1770,藤田エンジニアリング,建設業
1775,富士古河E&C,建設業
1776,三井住建道路,建設業
1783,fantasista,建設業
1787,ナカボーテック,建設業
1788,三東工業社,建設業
1793,大本組,建設業
1795,マサル[要曖昧さ回避],建設業
1798,守谷商会,建設業
1799,第一建設工業,建設業
1807,佐藤渡辺,建設業
1810,松井建設,建設業
1811,錢高組,建設業
1822,大豊建設,建設業
1826,佐田建設,建設業
1827,ナカノフドー建設,建設業
1828,田辺工業,建設業
1840,土屋ホールディングス,建設業
1841,サンユー建設,建設業
1844,大盛工業,建設業
1847,イチケン,建設業
1848,富士ピー・エス,建設業
1850,南海辰村建設,建設業
1853,森組,建設業
1866,北野建設,建設業
1867,植木組,建設業
1897,金下建設,建設業
1904,大成温調,建設業
1905,テノックス,建設業
1909,日本ドライケミカル,機械
1914,日本基礎技術,建設業
1921,巴コーポレーション,建設業
1948,弘電社,建設業
1960,サンテック,建設業
1965,テクノ菱和,建設業
1966,高田工業所,建設業
1967,ヤマト,建設業
1972,三晃金属工業,建設業
1981,協和日成,建設業
1992,神田通信機,建設業
1994,高橋カーテンウォール工業,建設業
1997,暁飯島工業,建設業
2003,日東富士製粉,食料品
2009,鳥越製粉,食料品
2055,日和産業,食料品
2107,東洋精糖,食料品
2112,塩水港精糖,食料品
2114,フジ日本,食料品
2122,インタースペース,サービス業
2134,北浜キャピタルパートナーズ,サービス業
2136,ヒップ[要曖昧さ回避],サービス業
2138,クルーズ,情報・通信業
2139,中広,サービス業
2152,幼児活動研究会,サービス業
2156,セーラー広告,サービス業
2162,nmsホールディングス,サービス業
2169,CDS,サービス業
2179,成学社,サービス業
2180,サニーサイドアップグループ,サービス業
2183,リニカル,サービス業
2185,シイエム・シイ,サービス業
2186,ソーバル,サービス業
2193,クックパッド,サービス業
2196,エスクリ,サービス業
2204,中村屋,食料品
2208,ブルボン,食料品
2215,第一屋製パン,食料品
2216,カンロ,食料品
2221,岩塚製菓,食料品
2224,コモ,食料品
2226,湖池屋,食料品
2268,B-R サーティワン アイスクリーム,食料品
2286,林兼産業,食料品
2291,福留ハム,食料品
2293,滝沢ハム,食料品
2300,きょくとう,サービス業
2303,ドーン,情報・通信業
2304,CSSホールディングス,サービス業
2311,エプコ,サービス業
2315,CAICA DIGITAL,情報・通信業
2323,fonfun,情報・通信業
